# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
8.600000000000005e-10	8.127718927399611e-5	-3.362295405171639e-5	0.9926713404104692	1.4675137057847991e-7	1.79506901591124e-8	0.0	-0.8324121460126648
8.800000000000006e-10	8.12755895302075e-5	-3.3640317910469125e-5	0.9926714996824639	1.429291865563332e-7	1.8368445918674245e-8	0.0	-0.8528409439937576
9.000000000000006e-10	8.126357885305248e-5	-3.3662289457976255e-5	0.9926717337824708	1.3965508953463213e-7	1.8785494656566784e-8	0.0	-0.9048807761818368
9.200000000000006e-10	8.12538803061863e-5	-3.368478913372575e-5	0.9926719981080863	1.3635327757966623e-7	1.9202870024231176e-8	0.0	-0.9304228568787314
9.400000000000007e-10	8.125485510841164e-5	-3.370458203712921e-5	0.9926722115253725	1.328746679632432e-7	1.9620276161007856e-8	0.0	-0.9360881159785208
9.600000000000006e-10	8.125804214316251e-5	-3.372262406314054e-5	0.9926723768865986	1.2933774949636518e-7	2.003765016868768e-8	0.0	-0.9371331235245233
9.800000000000005e-10	8.125209514664825e-5	-3.374133913532115e-5	0.9926725762374494	1.257870288278155e-7	2.0455020821046056e-8	0.0	-0.9373257925513931
1.0000000000000005e-9	8.124017348399907e-5	-3.376205972335386e-5	0.992672848914021	1.222332475782772e-7	2.087237435159264e-8	0.0	-0.9373611206519166
1.0000000000000005e-9	8.124017348399907e-5	-3.376205972335386e-5	0.992672848914021	1.222332475782772e-7	2.087237435159264e-8	0.0	-0.9373611206519166
1.0200000000000004e-9	8.123402694239615e-5	-3.378476281357806e-5	0.9926731337257194	1.1867885281605761e-7	2.128969181875079e-8	0.0	-0.9373665342621286
1.0400000000000003e-9	8.123561405389686e-5	-3.380759509895843e-5	0.9926733602753479	1.1512436682225963e-7	2.1706985949777563e-8	0.0	-0.9373667978052547
1.0600000000000003e-9	8.123507648335083e-5	-3.382782262367422e-5	0.9926735531956837	1.1156984547895991e-7	2.2124283306282165e-8	0.0	-0.9373661715275752
1.0800000000000002e-9	8.122661781244455e-5	-3.384572639281959e-5	0.9926737951524652	1.0801529414782124e-7	2.254158496394529e-8	0.0	-0.9373645503186048
1.1000000000000001e-9	8.121665363750173e-5	-3.386602641433703e-5	0.9926741044170619	1.0446077327724419e-7	2.295886620406444e-8	0.0	-0.9373621179083124
1.12e-9	8.121286328787977e-5	-3.389164700100052e-5	0.9926744083460314	1.0090633489766519e-7	2.3376113736349465e-8	0.0	-0.9373600102586139
1.14e-9	8.121278962069982e-5	-3.391780697587597e-5	0.9926746513714475	9.735195149139955e-8	2.379334410053759e-8	0.0	-0.9373587609305044
1.16e-9	8.120887258204157e-5	-3.393785281804436e-5	0.992674877069683	9.379755886051226e-8	2.4210577704789207e-8	0.0	-0.9373575000256812
1.1799999999999999e-9	8.120017411569458e-5	-3.3954248486050516e-5	0.9926751633670459	9.024315288582844e-8	2.4627808943976678e-8	0.0	-0.9373552971337131
