# t (s)	mx ()	my ()	mz ()
6.404028805570682e-10	-0.89373153	-0.1169607	-0.03311431
6.506092557035797e-10	-0.9024568	-0.14864485	-0.0056982255
6.601297073024633e-10	-0.92560947	-0.1397073	0.019792797
6.70348210410385e-10	-0.95516217	-0.08692183	0.0433226
6.805811714084066e-10	-0.97138137	0.0030585006	0.058171436
6.901390204174566e-10	-0.96630156	0.10172092	0.061508596
7.003827184045703e-10	-0.9451113	0.20164093	0.05455815
7.106386072890776e-10	-0.9209266	0.28172112	0.03952166
7.202077474397891e-10	-0.9072478	0.33087057	0.020654136
7.304319971721473e-10	-0.90796614	0.34940705	-0.0026521303
7.406342378926099e-10	-0.9228996	0.32797468	-0.026626563
7.501558822839187e-10	-0.94236565	0.27108383	-0.04629871
7.603765335318797e-10	-0.9612595	0.17735624	-0.060577042
7.706222941372566e-10	-0.97308165	0.066022515	-0.06453697
7.801995187355784e-10	-0.9750759	-0.0352414	-0.05733826
7.904763986624451e-10	-0.968809	-0.120670505	-0.038435627
8.00068265251715e-10	-0.9613	-0.16397159	-0.013576357
8.103441120243066e-10	-0.959448	-0.16353445	0.015424132
8.206283930476312e-10	-0.9662236	-0.11479874	0.04141097
8.302295566164288e-10	-0.97474664	-0.032705948	0.058776554
8.405198937820282e-10	-0.9760459	0.07919817	0.0668698
8.501296921581111e-10	-0.96550924	0.18743686	0.06374999
8.604310949081201e-10	-0.94555634	0.28778154	0.05034647
8.700150100571672e-10	-0.92667633	0.35338295	0.031270646
8.802560391475924e-10	-0.91435045	0.38582712	0.0074124634
8.904833056905964e-10	-0.9158422	0.377491	-0.016427102
9.000239846236559e-10	-0.9292098	0.3356284	-0.03549196
9.102550495526689e-10	-0.94870204	0.26072788	-0.049561467
9.204960852425231e-10	-0.96419847	0.1672091	-0.054955173
9.300578740992809e-10	-0.9705852	0.07810196	-0.05164802
9.402976338053697e-10	-0.97063446	-0.003392037	-0.04004944
9.50521693326939e-10	-0.96857965	-0.05735083	-0.022308512
9.600567578102173e-10	-0.96927965	-0.07615139	-0.003058339
9.70269385969917e-10	-0.97538507	-0.06128947	0.017074948
9.804879548146504e-10	-0.9838838	-0.014322364	0.033284314
9.900365700045287e-10	-0.9880729	0.050281584	0.042156015
1e-09	-0.984612	0.1260446	0.043269414
