# t (s)	mx	my	mz	B_extx (T)	B_exty (T)	B_extz (T)
0.0	0.7728033962082727	-8.033226861492437e-17	1.4895203126474855e-18	0.055	0.0	0.0
0.0	0.7719415510522186	-1.1540837729917542e-16	-9.332638828407625e-18	0.05	0.0	0.0
0.0	0.7709976220497499	-1.7986896694299758e-16	1.1102230246251566e-20	0.045	0.0	0.0
0.0	0.7699602149012676	-2.501960444378781e-16	-3.2959746043559335e-21	0.04	0.0	0.0
0.0	0.7688152268494834	-3.90031063002283e-16	4.553649124439119e-19	0.035	0.0	0.0
0.0	0.7675459194258251	-6.366150662184822e-16	-3.6221026178395734e-19	0.03	0.0	0.0
0.0	0.7661310263939265	-1.3369302193089184e-15	7.19910242530375e-21	0.025	0.0	0.0
0.0	0.7645438347631962	-1.956905817945831e-15	2.4134860776570123e-17	0.02	0.0	0.0
0.0	0.762749551083507	-4.4778940971879064e-15	3.4347524824340783e-20	0.015	0.0	0.0
0.0	0.7607025513126652	4.981779051782542e-14	7.979727989493312e-20	0.01	0.0	0.0
0.0	0.7583390142459224	2.6806376215993133e-14	-1.6601303665098043e-19	0.005	0.0	0.0
0.0	0.755568241133696	-3.2967286019147667e-13	4.0271605494801576e-19	0.0	0.0	0.0
0.0	0.7522505833443425	-1.7865690896123886e-11	1.76128729656444e-16	-0.005	0.0	0.0
0.0	0.7481518825327447	-2.0759192931811554e-9	1.8379395227974272e-19	-0.01	0.0	0.0
0.0	-0.26713788584597553	-1.2869027309345652e-6	-0.0009648555022500481	-0.015	0.0	0.0
0.0	-0.3397909483068557	-1.5650678185957778e-9	-0.000969127021508169	-0.02	0.0	0.0
0.0	-0.403199107708928	-2.3792585748805275e-13	-0.0009755396900490014	-0.025	0.0	0.0
0.0	-0.45854873716036026	6.161923471470487e-14	-0.0009829313749352472	-0.03	0.0	0.0
0.0	-0.5063289994042869	1.6730034441136965e-13	-0.0009922316077689676	-0.035	0.0	0.0
0.0	-0.5475683656704611	-1.6586684289943144e-12	-0.0010041832340496565	-0.04	0.0	0.0
0.0	-0.5835714286778643	-1.0134143593742984e-12	-0.001018764091379989	-0.045	0.0	0.0
0.0	-0.6149553470697254	-1.536109670019492e-13	-0.0010392696116271866	-0.05	0.0	0.0
0.0	-0.6437612871455068	1.4608938642135528e-13	-0.0010703253909973656	-0.055	0.0	0.0
0.0	-0.7735927290864304	9.201996109542421e-15	-2.4498875150769093e-15	-0.06	0.0	0.0
0.0	-0.7743176411060323	5.487522242164644e-15	1.9408953610966504e-18	-0.065	0.0	0.0
0.0	-0.774985025628447	2.8522413597631415e-15	-7.624977038656056e-19	-0.07	0.0	0.0
0.0	-0.7756007703367283	1.4582106355742751e-15	-1.0809929340549473e-18	-0.075	0.0	0.0
0.0	-0.7761701227807677	5.740886932503741e-16	-1.1221926166093966e-18	-0.08	0.0	0.0
0.0	-0.7766974101563873	2.718804348322834e-16	-2.796374243274613e-19	-0.085	0.0	0.0
0.0	-0.7771865928508809	8.05917832469305e-17	-6.480926906249351e-19	-0.09	0.0	0.0
0.0	-0.7776410887520925	6.9066280472540595e-18	-9.148064250563692e-19	-0.095	0.0	0.0
0.0	-0.7780639500770724	-1.992260523220324e-17	-5.097484934157848e-19	-0.1	0.0	0.0
0.0	-0.7784579647863675	-2.793910935938726e-17	9.274699064309998e-19	-0.105	0.0	0.0
0.0	-0.7788254654606195	-3.2258917759264705e-17	-8.211313573536216e-19	-0.11	0.0	0.0
0.0	-0.7791686567371353	-3.117072572278445e-17	-2.0746425410944626e-18	-0.115	0.0	0.0
0.0	-0.7794894827117825	-2.889719713516925e-17	-4.6638040651636455e-19	-0.12	0.0	0.0
0.0	-0.7797897439958426	-2.540346405455196e-17	-7.879981389624646e-19	-0.125	0.0	0.0
0.0	-0.780070999151445	-2.304736262948026e-17	-9.957312752106873e-20	-0.13	0.0	0.0
0.0	-0.7803347437689175	-2.209534638586419e-17	1.0802990446645567e-18	-0.135	0.0	0.0
0.0	-0.7805822401898606	-1.7958898257397494e-17	-7.902532794812345e-19	-0.14	0.0	0.0
0.0	-0.7808147645984969	-1.5079777704318786e-17	-8.874845303097346e-19	-0.145	0.0	0.0
0.0	-0.781033361773393	-1.7014861741770916e-17	-9.32847549206528e-19	-0.15	0.0	0.0
0.0	-0.7810333627135643	-1.615114292308206e-17	-5.1833537462187e-19	-0.15	0.0	0.0
0.0	-0.7808147669303261	-2.084252909151374e-17	4.0805900325402434e-18	-0.145	0.0	0.0
0.0	-0.7805822604338353	-2.129858789334804e-17	-1.2607102861661446e-18	-0.14	0.0	0.0
0.0	-0.7803347572417569	-1.944746447213319e-17	-4.493801164517919e-19	-0.135	0.0	0.0
0.0	-0.7800710239448986	-1.9968228459621428e-17	7.467984564080154e-20	-0.13	0.0	0.0
0.0	-0.7797897502506927	-2.0303723979875343e-17	-3.4954678040932665e-20	-0.125	0.0	0.0
0.0	-0.7794894948046602	-2.5178123475022575e-17	7.843725668976731e-18	-0.12	0.0	0.0
0.0	-0.7791686744649204	-2.4035114176701455e-17	-5.229323918332085e-19	-0.115	0.0	0.0
0.0	-0.7788254869249199	-2.135479293396969e-17	-4.8225312632155234e-20	-0.11	0.0	0.0
0.0	-0.7784579902909669	-2.731911918907315e-17	-3.669807513428935e-19	-0.105	0.0	0.0
0.0	-0.7780639880798883	-2.8890778658308134e-17	3.702767259472495e-18	-0.1	0.0	0.0
0.0	-0.7776411009419978	-2.879189942017746e-17	-1.0119509397110705e-18	-0.095	0.0	0.0
0.0	-0.7771866570115359	-2.8453975287057175e-17	-7.278032343460694e-19	-0.09	0.0	0.0
0.0	-0.7766975525536327	-3.522043767745231e-17	-4.544975507059235e-19	-0.085	0.0	0.0
0.0	-0.7761701539239745	-3.754427324587084e-17	-6.334342772529311e-19	-0.08	0.0	0.0
0.0	-0.7756008411746853	-3.7888095438809446e-17	-4.6837533851373794e-21	-0.075	0.0	0.0
0.0	-0.7749850160146495	-4.4420717104642904e-17	-5.931886926102691e-19	-0.07	0.0	0.0
0.0	-0.7743176511465281	-4.64031590929892e-17	-2.998469528225911e-19	-0.065	0.0	0.0
0.0	-0.7735927235791697	-4.9430251558568725e-17	-7.364768517259534e-19	-0.06	0.0	0.0
0.0	-0.7728035593123013	-5.952148496302101e-17	-5.250140600043806e-19	-0.055	0.0	0.0
0.0	-0.7719415583541221	-6.607214775300463e-17	8.474124180146702e-20	-0.05	0.0	0.0
0.0	-0.7709976191100956	-8.808440088436953e-17	-3.714042962066344e-18	-0.045	0.0	0.0
0.0	-0.7699601244458615	-1.0555618878971273e-16	-5.316060092130925e-19	-0.04	0.0	0.0
0.0	-0.7688152457625491	-1.3099868412247418e-16	-1.5352302762394743e-20	-0.035	0.0	0.0
0.0	-0.7675459194675642	-1.4420339922160963e-16	-4.891920202254596e-20	-0.03	0.0	0.0
0.0	-0.7661310403246597	-2.0624266183766337e-16	1.5666287711546545e-18	-0.025	0.0	0.0
0.0	-0.7645438091678762	-3.312319168946587e-16	-1.0231659269832604e-16	-0.02	0.0	0.0
